                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5673,                 3.1416,                 1.7843,                 1.1675,                0.38896,                0.05667,                0.05475,                0.02822,                0.38861,                0.04607,                 0.0434,                0.01729,                 1.7825,                 3.9785,                 1.8346,                 1.3703,               0.070096,              0.0033226,              0.0033226
                      2,                 1.5717,                 3.1042,                 1.5885,                 1.1936,                0.70845,                0.07907,                0.06885,                0.03678,                0.71009,                0.06785,                0.05807,                0.02586,                 1.5361,                 3.4464,                 1.4773,                 1.2178,               0.040074,               0.006634,               0.006634
                      3,                 1.5213,                 2.9992,                  1.514,                 1.1721,                0.72671,                0.09304,                0.08649,                0.04632,                 0.7156,                0.08178,                0.07256,                 0.0331,                 1.4915,                 3.1694,                 1.2409,                 1.1997,                0.01003,              0.0099234,              0.0099234
                      4,                 1.4656,                 2.9305,                 1.4432,                 1.1468,                0.63311,                0.09235,                0.09122,                0.05104,                0.62482,                0.08592,                0.08148,                0.03735,                 1.3882,                  3.067,                  1.196,                 1.1441,               0.009901,               0.009901,               0.009901
                      5,                 1.4249,                 2.8813,                  1.403,                 1.1294,                0.45282,                0.10268,                0.10316,                0.05697,                 0.4447,                0.09276,                0.08893,                0.04146,                 1.4021,                 3.0652,                  1.177,                 1.1547,               0.009901,               0.009901,               0.009901
                      6,                 1.3925,                 2.8237,                 1.3879,                 1.1183,                0.74851,                0.09769,                 0.1106,                0.05947,                0.73877,                0.08833,                0.09548,                 0.0429,                 1.3672,                 2.9499,                 1.1812,                 1.1249,               0.009868,               0.009868,               0.009868
                      7,                 1.3683,                 2.7719,                 1.3534,                 1.1067,                0.67326,                0.09696,                 0.1071,                0.06053,                0.66349,                0.08759,                0.09504,                0.04564,                 1.3363,                 2.9114,                  1.168,                 1.1246,               0.009835,               0.009835,               0.009835
                      8,                 1.3683,                 2.7899,                 1.3394,                 1.1063,                0.54166,                0.11345,                0.11108,                0.06518,                0.53448,                0.10527,                0.10039,                0.04927,                 1.2886,                 2.8598,                 1.0575,                 1.0926,               0.009802,               0.009802,               0.009802
                      9,                 1.3399,                 2.7355,                 1.3245,                  1.097,                0.74358,                0.10614,                0.10966,                0.06189,                0.73309,                0.09551,                0.09335,                0.04463,                 1.2994,                 2.8779,                 1.1054,                 1.1005,               0.009769,               0.009769,               0.009769
                     10,                 1.3339,                 2.7293,                 1.3037,                 1.0908,                 0.7434,                0.10469,                0.10383,                0.05788,                0.73427,                0.09557,                0.09019,                0.04159,                 1.3571,                  2.978,                 1.1217,                 1.1326,               0.009736,               0.009736,               0.009736
                     11,                 1.3296,                 2.7203,                   1.31,                 1.0877,                0.64988,                0.13345,                0.12975,                0.07439,                0.64417,                0.11615,                0.11199,                0.05453,                 1.2513,                 2.8224,                 1.0295,                 1.0791,               0.009703,               0.009703,               0.009703
                     12,                 1.3166,                 2.7075,                 1.2928,                 1.0833,                0.56781,                0.12227,                0.12532,                0.07091,                0.58551,                0.10889,                0.10782,                0.05003,                 1.2767,                  2.858,                 1.0681,                 1.1032,                0.00967,                0.00967,                0.00967
                     13,                 1.3026,                 2.6878,                 1.2812,                 1.0813,                0.78386,                0.11176,                0.12781,                 0.0736,                0.77737,                0.09991,                0.11131,                0.05534,                 1.2619,                 2.8508,                 1.0452,                 1.0875,               0.009637,               0.009637,               0.009637
                     14,                 1.2998,                 2.6727,                 1.2652,                 1.0817,                0.77425,                0.11237,                0.12638,                0.07242,                0.76359,                0.10276,                0.10876,                0.05182,                 1.2411,                 2.8039,                  1.039,                 1.0787,               0.009604,               0.009604,               0.009604
                     15,                 1.2997,                  2.669,                 1.2742,                 1.0747,                0.67001,                0.11945,                0.12713,                0.07423,                0.65762,                0.11044,                0.11235,                0.05592,                 1.2571,                 2.7942,                 1.0142,                 1.0881,               0.009571,               0.009571,               0.009571
                     16,                 1.2921,                 2.6451,                 1.2731,                 1.0762,                0.56235,                0.14249,                0.13265,                0.07536,                0.53914,                0.12751,                0.11194,                0.05171,                 1.2388,                 2.7802,                 1.0205,                 1.0846,               0.009538,               0.009538,               0.009538
                     17,                  1.283,                  2.657,                 1.2677,                 1.0749,                0.56216,                0.13117,                0.14035,                0.08228,                0.53087,                0.11951,                0.12219,                0.05915,                  1.225,                 2.8264,                 1.0083,                 1.0762,               0.009505,               0.009505,               0.009505
                     18,                  1.271,                  2.638,                 1.2486,                  1.069,                0.53069,                0.14733,                 0.1333,                 0.0753,                0.45661,                0.13328,                 0.1143,                0.05383,                 1.2571,                 2.7837,                 1.0531,                 1.0879,               0.009472,               0.009472,               0.009472
                     19,                 1.2776,                 2.6421,                 1.2544,                 1.0719,                 0.5938,                0.12817,                 0.1365,                0.07788,                0.56781,                0.11498,                0.11592,                0.05501,                 1.2149,                 2.7491,                 1.0264,                 1.0728,               0.009439,               0.009439,               0.009439
                     20,                 1.2738,                 2.6336,                 1.2602,                 1.0729,                0.63512,                0.13275,                0.13495,                0.07553,                0.62915,                0.11935,                0.11319,                0.05189,                 1.2268,                 2.7546,                 1.0203,                 1.0717,               0.009406,               0.009406,               0.009406
                     21,                 1.2713,                 2.6302,                 1.2453,                 1.0663,                  0.659,                0.14662,                0.14077,                0.08094,                0.66691,                0.13543,                0.12429,                0.06031,                 1.2142,                 2.7835,                  0.982,                 1.0704,               0.009373,               0.009373,               0.009373
                     22,                 1.2766,                 2.6202,                 1.2637,                 1.0727,                0.77295,                0.12388,                 0.1378,                0.08006,                0.76377,                0.11344,                0.12018,                0.05638,                 1.2103,                 2.7455,                 1.0012,                 1.0648,                0.00934,                0.00934,                0.00934
                     23,                 1.2752,                 2.6219,                 1.2586,                 1.0682,                0.69416,                0.12609,                0.13793,                0.07963,                0.67569,                0.12119,                0.12134,                 0.0588,                  1.205,                 2.7348,                 0.9754,                 1.0661,               0.009307,               0.009307,               0.009307
                     24,                 1.2653,                 2.6081,                 1.2345,                 1.0666,                0.78327,                 0.1215,                0.12992,                0.07607,                0.77128,                0.11156,                0.11698,                0.05667,                    1.2,                 2.7247,                0.97698,                 1.0726,               0.009274,               0.009274,               0.009274
                     25,                 1.2573,                 2.5971,                  1.241,                 1.0623,                0.54444,                0.14589,                0.13306,                0.07716,                0.53781,                0.13285,                0.11608,                0.05482,                 1.1923,                 2.7747,                0.97316,                  1.065,               0.009241,               0.009241,               0.009241
                     26,                 1.2603,                 2.6045,                 1.2403,                 1.0642,                 0.5655,                  0.147,                0.13876,                0.07849,                0.53633,                0.13033,                0.12114,                0.05682,                 1.1956,                 2.7077,                0.98324,                 1.0652,               0.009208,               0.009208,               0.009208
                     27,                 1.2612,                 2.5891,                 1.2451,                 1.0653,                0.78266,                0.12188,                  0.136,                0.07999,                 0.7751,                0.11423,                0.12315,                0.05836,                 1.1867,                 2.7236,                0.96597,                 1.0668,               0.009175,               0.009175,               0.009175
                     28,                 1.2596,                 2.6044,                 1.2372,                 1.0669,                0.58262,                0.13085,                0.12912,                0.07591,                0.66232,                0.11475,                0.11322,                 0.0555,                 1.2072,                 2.7379,                 0.9969,                 1.0621,               0.009142,               0.009142,               0.009142
                     29,                 1.2447,                 2.5837,                 1.2382,                 1.0585,                0.68446,                0.12271,                 0.1371,                0.08234,                0.67289,                0.11203,                0.12065,                0.06135,                 1.1863,                  2.723,                0.94616,                 1.0602,               0.009109,               0.009109,               0.009109
                     30,                 1.2468,                  2.585,                 1.2227,                  1.062,                0.55147,                0.13962,                0.14325,                0.08466,                0.51991,                0.12543,                0.12404,                 0.0622,                  1.163,                  2.691,                0.95177,                 1.0465,               0.009076,               0.009076,               0.009076
                     31,                 1.2447,                 2.5941,                 1.2173,                 1.0611,                0.75909,                 0.1326,                0.14222,                0.08372,                0.74787,                0.12016,                0.12279,                0.05838,                  1.185,                 2.7091,                0.97774,                 1.0578,               0.009043,               0.009043,               0.009043
                     32,                 1.2293,                 2.5625,                  1.219,                 1.0553,                0.77769,                0.12895,                0.14198,                0.08421,                0.76704,                0.11619,                0.12441,                0.05917,                 1.1893,                 2.7414,                0.97149,                 1.0544,                0.00901,                0.00901,                0.00901
                     33,                  1.244,                 2.5886,                 1.2092,                 1.0578,                0.51108,                0.14488,                0.14496,                0.08693,                0.59927,                0.12865,                0.12908,                0.06272,                 1.1772,                 2.6669,                0.94706,                 1.0575,               0.008977,               0.008977,               0.008977
                     34,                 1.2437,                 2.6055,                 1.2289,                 1.0615,                0.61689,                0.15502,                0.14276,                0.08271,                0.57062,                0.13414,                0.12319,                0.05802,                 1.1878,                 2.6969,                0.96086,                 1.0597,               0.008944,               0.008944,               0.008944
                     35,                 1.2382,                 2.5674,                 1.2097,                 1.0534,                0.64506,                0.14162,                0.14996,                0.09012,                0.63948,                0.12303,                0.13421,                0.06773,                 1.1725,                 2.6733,                0.97627,                 1.0464,               0.008911,               0.008911,               0.008911
                     36,                 1.2299,                  2.561,                 1.2121,                 1.0555,                0.49501,                0.16313,                 0.1509,                0.08757,                0.47255,                0.14691,                 0.1312,                0.06256,                 1.1528,                 2.6774,                 0.9474,                 1.0539,               0.008878,               0.008878,               0.008878
                     37,                 1.2331,                 2.5669,                 1.2238,                 1.0574,                0.66589,                0.14365,                0.14443,                0.08773,                0.63223,                0.13129,                0.12653,                 0.0621,                 1.1524,                 2.6704,                 0.9529,                 1.0472,               0.008845,               0.008845,               0.008845
                     38,                   1.23,                 2.5717,                 1.2062,                 1.0543,                0.55141,                0.15776,                 0.1568,                0.09274,                0.50147,                 0.1412,                 0.1344,                0.06625,                 1.1627,                 2.6604,                0.94274,                 1.0501,               0.008812,               0.008812,               0.008812
                     39,                 1.2268,                 2.5746,                 1.2017,                  1.051,                0.68403,                0.13137,                0.14308,                0.08559,                0.67503,                 0.1199,                0.12598,                0.06284,                 1.1441,                 2.6652,                0.93262,                 1.0421,               0.008779,               0.008779,               0.008779
                     40,                 1.2396,                 2.5545,                 1.2136,                 1.0566,                0.69154,                0.14641,                0.15371,                0.09539,                0.61491,                0.13093,                 0.1341,                 0.0672,                 1.1511,                 2.6613,                0.92744,                 1.0449,               0.008746,               0.008746,               0.008746
                     41,                 1.2333,                 2.5603,                 1.2159,                 1.0546,                0.51984,                0.15468,                0.14986,                0.08878,                0.50119,                0.13629,                0.12907,                0.06336,                 1.1609,                 2.6695,                0.95246,                 1.0421,               0.008713,               0.008713,               0.008713
                     42,                 1.2247,                 2.5471,                 1.2019,                  1.051,                 0.4971,                 0.1544,                0.14865,                0.08947,                0.46447,                0.13872,                0.13172,                0.06567,                 1.1491,                 2.6579,                0.91693,                 1.0459,                0.00868,                0.00868,                0.00868
                     43,                  1.221,                 2.5278,                 1.1893,                 1.0485,                0.49813,                0.16326,                0.15834,                0.09075,                0.65102,                0.13598,                0.13838,                0.06575,                 1.1455,                 2.6443,                0.90654,                  1.045,               0.008647,               0.008647,               0.008647
                     44,                 1.2183,                 2.5264,                 1.1948,                 1.0476,                0.60894,                0.15773,                 0.1455,                0.08703,                0.56305,                0.13463,                0.12589,                0.06298,                 1.1416,                 2.6429,                0.93737,                  1.037,               0.008614,               0.008614,               0.008614
                     45,                 1.2197,                   2.54,                 1.1949,                 1.0509,                0.52881,                0.14742,                0.14786,                0.08882,                0.47238,                0.13487,                0.12924,                0.06531,                 1.1476,                 2.6509,                0.92796,                 1.0414,               0.008581,               0.008581,               0.008581
                     46,                 1.1996,                 2.5187,                  1.199,                  1.041,                0.63914,                 0.1543,                0.15468,                0.09004,                0.59155,                 0.1383,                0.13372,                0.06455,                 1.1284,                 2.6357,                0.91909,                 1.0321,               0.008548,               0.008548,               0.008548
                     47,                 1.2113,                   2.54,                  1.195,                 1.0469,                 0.4245,                0.16187,                0.15796,                0.09374,                0.49283,                0.14557,                0.13295,                0.06666,                 1.1356,                 2.6285,                0.90914,                 1.0348,               0.008515,               0.008515,               0.008515
                     48,                 1.2188,                 2.5413,                 1.1929,                 1.0435,                0.54252,                 0.1484,                0.15379,                0.09261,                0.47818,                0.13553,                0.13342,                0.06731,                 1.1303,                 2.6091,                0.91462,                 1.0349,               0.008482,               0.008482,               0.008482
                     49,                 1.2175,                   2.54,                  1.191,                 1.0458,                0.67127,                0.16235,                0.16118,                0.09664,                0.62932,                0.14568,                0.13926,                0.06875,                 1.1317,                 2.6397,                  0.895,                 1.0356,               0.008449,               0.008449,               0.008449
                     50,                 1.2122,                 2.5341,                 1.1848,                 1.0434,                0.78931,                0.14237,                0.15161,                 0.0926,                0.77629,                0.12932,                0.13344,                0.06807,                  1.134,                 2.6277,                0.92891,                 1.0315,               0.008416,               0.008416,               0.008416
                     51,                 1.2128,                 2.5104,                 1.2066,                 1.0434,                0.55595,                0.15206,                 0.1522,                0.09089,                0.55609,                0.13496,                0.13224,                 0.0657,                 1.1301,                 2.6153,                 0.9159,                 1.0294,               0.008383,               0.008383,               0.008383
                     52,                 1.2128,                 2.5255,                 1.1986,                 1.0457,                 0.6884,                0.14968,                0.15588,                  0.092,                0.59614,                0.12894,                0.13523,                0.06575,                 1.1304,                 2.6138,                0.92096,                 1.0398,                0.00835,                0.00835,                0.00835
                     53,                 1.2255,                 2.5503,                 1.1992,                 1.0479,                 0.6542,                0.15302,                0.15934,                0.09395,                0.77124,                0.12705,                0.13787,                0.06796,                 1.1313,                 2.6092,                0.91139,                 1.0342,               0.008317,               0.008317,               0.008317
                     54,                 1.2142,                 2.5354,                 1.2003,                 1.0471,                0.76881,                0.15594,                0.16082,                0.09757,                0.76347,                0.13775,                0.13893,                0.06892,                 1.1164,                 2.6246,                0.91206,                 1.0283,               0.008284,               0.008284,               0.008284
                     55,                 1.2135,                 2.5287,                  1.192,                  1.046,                0.54014,                0.15486,                0.15753,                0.09558,                0.50115,                0.13938,                0.13883,                0.06948,                   1.12,                  2.603,                0.91092,                 1.0328,               0.008251,               0.008251,               0.008251
                     56,                 1.2105,                 2.5257,                 1.1833,                 1.0428,                0.74696,                0.15784,                0.17058,                0.10424,                0.76961,                0.12796,                0.14855,                0.07706,                 1.1219,                 2.6096,                0.89872,                  1.029,               0.008218,               0.008218,               0.008218
                     57,                 1.2044,                 2.5161,                 1.1756,                 1.0423,                0.64136,                0.14219,                0.15991,                0.09576,                0.49812,                0.14188,                0.14037,                0.07014,                 1.1185,                 2.6028,                 0.8985,                 1.0289,               0.008185,               0.008185,               0.008185
                     58,                 1.2079,                 2.5116,                 1.1975,                 1.0453,                0.60965,                0.16576,                0.15997,                0.09541,                0.57773,                0.14548,                0.13636,                0.06738,                 1.1124,                 2.6176,                0.88732,                 1.0341,               0.008152,               0.008152,               0.008152
                     59,                  1.209,                 2.5187,                 1.1785,                  1.043,                0.62371,                0.16118,                0.16943,                0.10194,                0.52331,                0.14543,                0.14419,                0.07357,                 1.1121,                 2.5883,                 0.8913,                 1.0233,               0.008119,               0.008119,               0.008119
                     60,                 1.1973,                 2.5122,                  1.178,                 1.0376,                0.76306,                0.14307,                0.16598,                0.10014,                0.64816,                 0.1271,                0.14279,                0.07158,                 1.1064,                 2.5938,                0.89887,                 1.0212,               0.008086,               0.008086,               0.008086
                     61,                 1.2019,                 2.5356,                 1.1834,                 1.0421,                0.70637,                0.15084,                0.16462,                0.10043,                0.68745,                0.13957,                0.14489,                0.07235,                 1.1031,                 2.5856,                0.88415,                 1.0257,               0.008053,               0.008053,               0.008053
                     62,                 1.1979,                 2.4977,                 1.1864,                 1.0381,                0.67451,                0.15451,                0.16568,                0.10036,                0.77217,                0.13724,                0.14454,                0.07322,                 1.1071,                 2.5909,                0.90274,                 1.0278,                0.00802,                0.00802,                0.00802
                     63,                 1.2028,                 2.5082,                 1.1857,                 1.0398,                0.56666,                0.16333,                0.16325,                0.09981,                0.56999,                0.14933,                0.14081,                0.07068,                  1.101,                 2.5856,                0.87636,                 1.0257,               0.007987,               0.007987,               0.007987
                     64,                 1.2038,                 2.5193,                 1.1736,                 1.0422,                 0.5301,                0.15546,                 0.1642,                0.09968,                0.49611,                0.14138,                0.14217,                0.07242,                  1.101,                 2.5706,                0.89068,                 1.0216,               0.007954,               0.007954,               0.007954
                     65,                 1.2011,                 2.4948,                 1.1718,                 1.0383,                0.51925,                0.16207,                0.17124,                0.10086,                 0.5208,                0.13514,                0.14325,                0.07182,                 1.1126,                 2.5838,                0.89819,                 1.0228,               0.007921,               0.007921,               0.007921
                     66,                 1.1928,                 2.4908,                 1.1677,                  1.038,                0.58682,                0.16563,                0.16498,                0.09998,                0.56981,                0.14535,                0.14251,                0.07213,                 1.0986,                 2.5708,                 0.8855,                 1.0226,               0.007888,               0.007888,               0.007888
                     67,                 1.1984,                 2.4861,                 1.1732,                 1.0386,                0.52158,                0.17026,                0.16718,                0.10125,                0.49981,                0.15219,                0.14513,                0.07133,                  1.102,                 2.5747,                0.87086,                 1.0228,               0.007855,               0.007855,               0.007855
                     68,                 1.2039,                 2.5106,                  1.176,                 1.0398,                0.63774,                0.16137,                 0.1649,                0.10171,                0.60871,                0.13324,                 0.1445,                0.07386,                 1.1023,                 2.5609,                0.87047,                 1.0225,               0.007822,               0.007822,               0.007822
                     69,                  1.187,                  2.484,                 1.1657,                 1.0336,                0.73626,                0.14841,                0.16295,                0.09928,                0.67951,                 0.1305,                0.14184,                0.07146,                 1.0905,                 2.5703,                0.87092,                 1.0175,               0.007789,               0.007789,               0.007789
                     70,                 1.1942,                 2.4641,                 1.1591,                 1.0346,                0.59757,                0.15743,                0.16253,                0.10158,                0.67907,                0.13977,                0.14381,                0.07458,                 1.0951,                 2.5705,                0.87707,                 1.0189,               0.007756,               0.007756,               0.007756
                     71,                 1.1924,                 2.4855,                 1.1621,                 1.0354,                0.55927,                0.15315,                0.16288,                0.09777,                0.52346,                0.13658,                0.13951,                0.07062,                 1.0959,                 2.5657,                0.86867,                 1.0162,               0.007723,               0.007723,               0.007723
                     72,                 1.1976,                 2.5096,                 1.1772,                 1.0366,                0.48726,                0.16543,                0.16194,                0.09839,                0.45631,                0.14846,                0.13936,                0.07051,                 1.0881,                 2.5595,                0.87324,                 1.0158,                0.00769,                0.00769,                0.00769
                     73,                 1.1902,                 2.4876,                 1.1651,                 1.0327,                0.72436,                0.15525,                0.16893,                0.10393,                0.72354,                0.14063,                 0.1498,                0.07501,                 1.0863,                 2.5661,                0.86528,                 1.0151,               0.007657,               0.007657,               0.007657
                     74,                 1.1965,                 2.4965,                 1.1764,                  1.039,                0.61737,                0.17416,                0.16877,                 0.1043,                0.50657,                0.16092,                0.14731,                0.07511,                 1.0887,                  2.568,                0.87196,                 1.0182,               0.007624,               0.007624,               0.007624
                     75,                 1.1853,                 2.4632,                 1.1689,                  1.031,                0.64368,                0.15093,                0.16797,                0.10252,                0.58839,                0.13856,                0.14518,                 0.0735,                 1.0865,                 2.5603,                0.87449,                 1.0158,               0.007591,               0.007591,               0.007591
                     76,                 1.2016,                 2.4877,                 1.1798,                 1.0421,                0.64143,                0.15397,                0.16575,                 0.1018,                0.57017,                0.14185,                0.14481,                 0.0735,                 1.0807,                 2.5536,                0.87152,                 1.0123,               0.007558,               0.007558,               0.007558
                     77,                 1.1873,                 2.4968,                 1.1596,                 1.0345,                0.53157,                0.16734,                0.16561,                0.10054,                 0.4899,                0.16021,                0.14528,                0.07306,                 1.0841,                 2.5491,                0.87897,                 1.0106,               0.007525,               0.007525,               0.007525
                     78,                 1.1812,                 2.4838,                 1.1595,                 1.0286,                 0.5745,                0.17831,                0.17621,                0.10688,                0.53814,                  0.159,                0.15296,                 0.0779,                 1.0754,                 2.5412,                0.86435,                 1.0071,               0.007492,               0.007492,               0.007492
                     79,                 1.1854,                 2.4815,                 1.1692,                  1.034,                0.54122,                 0.1668,                0.16837,                 0.1038,                0.49805,                0.15168,                0.14858,                0.07509,                 1.0748,                 2.5467,                 0.8641,                 1.0082,               0.007459,               0.007459,               0.007459
                     80,                  1.178,                 2.4633,                 1.1522,                 1.0313,                0.51172,                 0.1685,                0.16891,                0.10404,                0.48504,                0.15624,                0.14871,                0.07564,                 1.0772,                 2.5357,                0.86393,                 1.0106,               0.007426,               0.007426,               0.007426
                     81,                 1.1832,                  2.476,                  1.151,                 1.0318,                0.62903,                0.16138,                0.17276,                0.10458,                0.59718,                 0.1426,                0.15064,                 0.0755,                 1.0754,                 2.5379,                0.85892,                 1.0107,               0.007393,               0.007393,               0.007393
                     82,                 1.1872,                 2.4814,                 1.1598,                 1.0313,                0.58126,                0.16674,                0.17576,                0.10838,                 0.5483,                0.15239,                0.15421,                0.07826,                 1.0712,                 2.5336,                0.86449,                 1.0079,                0.00736,                0.00736,                0.00736
                     83,                 1.1783,                 2.4769,                 1.1586,                  1.028,                0.64143,                0.15367,                0.17209,                0.10635,                0.56355,                0.13905,                0.15077,                0.07704,                  1.073,                 2.5279,                0.85945,                 1.0082,               0.007327,               0.007327,               0.007327
                     84,                 1.1882,                 2.4956,                  1.168,                 1.0331,                  0.634,                0.17913,                0.17481,                0.10592,                0.57657,                0.16947,                0.15228,                0.07528,                 1.0694,                 2.5298,                 0.8484,                 1.0076,               0.007294,               0.007294,               0.007294
