                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.617,                 3.1831,                 1.8044,                 1.1947,                0.50867,                0.07167,                0.06275,                0.03227,                0.50782,                0.06006,                0.04858,                0.02185,                 1.7073,                 3.9046,                 1.7399,                 1.3189,               0.070048,               0.003328,               0.003328
                      2,                 1.5908,                 3.0993,                 1.6076,                  1.199,                0.60759,                0.08076,                 0.0797,                0.04087,                 0.5973,                0.07297,                0.06728,                 0.0288,                 1.5707,                 3.2983,                 1.3937,                 1.2257,               0.040015,              0.0066284,              0.0066284
                      3,                 1.5324,                 3.0329,                 1.5545,                 1.1722,                0.71576,                0.08646,                0.07931,                0.04211,                0.70172,                0.07687,                0.06683,                0.02862,                 1.5659,                 3.2081,                 1.3525,                 1.2184,              0.0099491,              0.0098957,              0.0098957
                      4,                 1.4994,                 2.9857,                 1.5126,                 1.1646,                0.63006,                0.10707,                0.09449,                0.05114,                0.62299,                0.09879,                0.08408,                0.03634,                 1.4398,                 3.0553,                 1.2386,                 1.1665,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4565,                 2.9088,                 1.4646,                 1.1471,                 0.7669,                0.10413,                0.11108,                0.06352,                0.75397,                0.09479,                0.09907,                0.04797,                 1.3415,                 2.9219,                 1.1681,                 1.1139,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4246,                 2.8477,                 1.4336,                 1.1334,                  0.644,                0.10467,                0.10334,                 0.0592,                0.63611,                 0.0983,                0.09154,                0.04383,                  1.328,                 2.9562,                 1.1328,                 1.1068,               0.009802,               0.009802,               0.009802
                      7,                 1.3963,                  2.819,                 1.4214,                 1.1228,                 0.5524,                0.11891,                0.11162,                0.06359,                0.53604,                0.10466,                0.09836,                 0.0462,                 1.3083,                 2.9363,                 1.0942,                 1.1004,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3665,                 2.7881,                 1.4032,                 1.1139,                0.55892,                0.11897,                0.12366,                0.06939,                0.54726,                0.10844,                0.10647,                0.04862,                 1.2789,                 2.8607,                 1.0973,                 1.0904,               0.009703,               0.009703,               0.009703
                      9,                 1.3608,                 2.7564,                 1.3745,                 1.1051,                0.73928,                   0.11,                 0.1097,                0.06179,                0.73018,                0.10184,                0.09601,                0.04528,                 1.3248,                 2.9011,                  1.093,                    1.1,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3491,                 2.7454,                 1.3647,                 1.1012,                0.69121,                0.11461,                0.11286,                0.06672,                0.67459,                0.10281,                0.09969,                0.04855,                 1.2957,                   2.87,                 1.0671,                 1.1125,               0.009604,               0.009604,               0.009604
                     11,                 1.3417,                 2.7209,                 1.3452,                 1.0957,                0.76465,                0.11314,                0.12006,                0.07081,                0.75501,                0.10269,                0.10691,                0.05183,                  1.266,                 2.8347,                 1.0677,                 1.0906,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3346,                 2.7154,                  1.336,                 1.0969,                0.75112,                0.11914,                0.11965,                0.06786,                0.73218,                0.11197,                0.10458,                0.04896,                 1.2732,                 2.8062,                 1.0648,                 1.1026,               0.009505,               0.009505,               0.009505
                     13,                 1.3123,                 2.6783,                  1.319,                  1.088,                0.75184,                0.12646,                0.12916,                0.07344,                0.73613,                0.11742,                0.11337,                0.05447,                 1.2671,                 2.8077,                 1.0326,                 1.0909,              0.0094555,              0.0094555,              0.0094555
