                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5235,                  3.073,                 1.7964,                 1.1917,                0.60274,                0.07313,                0.06352,                0.03261,                0.60144,                0.06367,                0.05312,                0.02238,                 1.7436,                 3.9162,                 1.5858,                 1.4011,               0.070096,              0.0033226,              0.0033226
                      2,                 1.5278,                 3.0612,                 1.5388,                 1.2185,                0.75905,                0.08583,                0.08935,                 0.0476,                0.74049,                0.07631,                0.07652,                0.03302,                 1.4509,                 3.1604,                 1.2309,                 1.2277,               0.040063,               0.006623,               0.006623
                      3,                 1.4553,                 2.9024,                 1.4445,                 1.1827,                0.65508,                0.09672,                0.10009,                0.05493,                0.63936,                0.08674,                0.08416,                0.03615,                 1.4145,                 3.1532,                 1.1732,                    1.2,              0.0099973,              0.0098904,              0.0098904
                      4,                 1.3938,                 2.8195,                 1.3796,                 1.1525,                0.65771,                0.10094,                 0.1008,                0.05682,                0.65561,                0.09389,                0.09156,                0.04251,                 1.3521,                 2.9911,                 1.1291,                 1.1676,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3605,                 2.7828,                 1.3406,                 1.1362,                0.76264,                0.10272,                0.10738,                 0.0599,                0.64732,                 0.0971,                0.09882,                0.04677,                 1.3213,                  2.926,                 1.1114,                 1.1486,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3373,                 2.7369,                 1.3374,                 1.1264,                0.75777,                0.11302,                 0.1224,                0.06547,                0.74548,                0.10384,                0.10296,                 0.0473,                  1.279,                 2.8501,                 1.0721,                 1.1312,               0.009802,               0.009802,               0.009802
                      7,                  1.318,                 2.7037,                 1.3106,                 1.1153,                0.44208,                0.12959,                0.12166,                0.07029,                0.43378,                0.11883,                0.10756,                0.05139,                 1.2574,                 2.8331,                 1.0468,                 1.1183,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3151,                  2.702,                 1.2887,                 1.1123,                0.56182,                0.13308,                0.13362,                0.07764,                0.65225,                0.12167,                0.11991,                0.05729,                 1.2394,                  2.769,                  1.033,                 1.1074,               0.009703,               0.009703,               0.009703
                      9,                 1.2832,                 2.6584,                 1.2779,                 1.1005,                0.77356,                0.12193,                0.13141,                 0.0762,                0.76834,                 0.1159,                0.11581,                0.05635,                 1.2275,                 2.8071,                0.99296,                 1.1029,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2715,                 2.6349,                 1.2602,                 1.0932,                0.76446,                0.11618,                0.12211,                0.07055,                0.75673,                0.10902,                0.10972,                0.05074,                 1.2353,                 2.7594,                 1.0422,                 1.1101,               0.009604,               0.009604,               0.009604
                     11,                 1.2757,                 2.6332,                 1.2685,                 1.0931,                0.69234,                0.13754,                0.14026,                0.07943,                0.67808,                0.12462,                0.12453,                0.05741,                 1.2334,                 2.7531,                0.99623,                 1.1047,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2632,                 2.6188,                 1.2585,                 1.0881,                0.66377,                0.11635,                0.12738,                  0.075,                0.65089,                0.10313,                 0.1064,                0.05251,                 1.2289,                 2.7722,                 1.0308,                 1.1001,               0.009505,               0.009505,               0.009505
                     13,                 1.2488,                 2.5982,                 1.2475,                 1.0854,                0.67879,                 0.1278,                0.13165,                0.07852,                 0.6652,                0.11462,                0.11354,                0.05706,                 1.2019,                 2.7571,                0.98607,                 1.0887,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.246,                 2.5845,                 1.2252,                 1.0875,                 0.6146,                0.13946,                0.14006,                0.08036,                0.57232,                0.12023,                0.11968,                0.05558,                 1.1883,                  2.697,                0.98059,                 1.0791,               0.009406,               0.009406,               0.009406
                     15,                 1.2426,                   2.58,                 1.2295,                 1.0791,                0.58221,                0.14051,                0.13606,                 0.0779,                0.56474,                0.12245,                0.11753,                0.05666,                 1.2033,                  2.718,                0.98725,                 1.0984,              0.0093565,              0.0093565,              0.0093565
                     16,                   1.23,                 2.5729,                 1.2261,                 1.0762,                0.40239,                0.14839,                0.14396,                0.08224,                0.35756,                 0.1336,                0.12476,                0.06002,                 1.1783,                 2.7002,                0.95031,                 1.0823,               0.009307,               0.009307,               0.009307
                     17,                  1.226,                 2.5745,                 1.2239,                 1.0756,                0.55517,                0.15571,                0.15128,                0.08697,                0.52949,                0.13833,                0.12988,                0.06029,                 1.1686,                 2.7249,                0.96517,                 1.0864,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2234,                 2.5687,                 1.2146,                 1.0773,                0.66736,                0.13671,                0.14456,                0.08083,                0.66913,                0.11304,                0.11848,                0.05545,                 1.1979,                 2.7035,                 1.0289,                 1.0906,               0.009208,               0.009208,               0.009208
                     19,                 1.2253,                 2.5568,                 1.2162,                 1.0721,                0.53079,                 0.1606,                0.14604,                0.08235,                0.46434,                0.13513,                0.12143,                 0.0573,                  1.185,                 2.6774,                0.98102,                 1.0843,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2206,                 2.5478,                 1.2212,                 1.0731,                 0.7946,                 0.1262,                0.14431,                 0.0825,                0.78319,                0.11662,                0.12313,                0.06061,                 1.1809,                  2.672,                 1.0107,                 1.0785,               0.009109,               0.009109,               0.009109
                     21,                 1.2205,                 2.5517,                 1.2101,                 1.0704,                0.53156,                0.16541,                 0.1574,                0.08897,                0.50025,                0.13885,                0.13386,                0.06398,                 1.1582,                 2.6747,                0.93837,                 1.0756,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2161,                 2.5272,                 1.2134,                 1.0701,                0.77627,                0.12686,                0.14135,                0.08294,                0.76668,                0.11313,                  0.119,                0.05914,                 1.1603,                 2.6627,                0.96688,                 1.0757,                0.00901,                0.00901,                0.00901
                     23,                  1.227,                 2.5519,                 1.2296,                 1.0683,                0.67561,                0.15118,                0.15216,                0.08906,                0.67049,                0.14047,                0.13371,                0.06479,                 1.1681,                 2.6658,                0.94011,                 1.0746,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.218,                 2.5313,                 1.2054,                  1.071,                0.78741,                0.12915,                0.14314,                0.08306,                0.77273,                0.11564,                0.12186,                0.05881,                 1.1678,                 2.6405,                0.93651,                 1.0708,               0.008911,               0.008911,               0.008911
                     25,                 1.2026,                 2.5008,                 1.2074,                 1.0637,                0.51435,                0.15634,                0.15109,                0.08861,                0.48099,                0.14235,                0.13076,                0.06313,                 1.1403,                 2.6665,                0.95192,                 1.0705,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2016,                 2.5079,                  1.198,                 1.0629,                0.56606,                 0.1449,                0.14639,                0.08495,                0.55493,                0.13576,                 0.1293,                0.06043,                 1.1438,                  2.641,                0.94284,                  1.068,               0.008812,               0.008812,               0.008812
